Modèle,ROC_AUC_cv,ROC_AUC_std,F1_cv,Recall_cv
Gradient Boosting,0.8455529578477783,0.012902738649074857,0.6259060863372562,0.6575250836120401
Logistic Regression,0.8451255356227664,0.011394683602495985,0.6316360035984077,0.7879598662207358
XGBoost,0.8438171634156394,0.010115618989504622,0.6177402123952745,0.6187290969899666
Random Forest,0.8237546724892519,0.009018846036577466,0.5848387146278735,0.5638795986622074
Decision Tree,0.816347346810702,0.009123235340682267,0.6044286777697018,0.6862876254180602
KNN,0.8132865187181583,0.008772133837586366,0.5962117421624831,0.825418060200669
